,S0,S1,S2,S3,S4,S5,S6,bottleneck
206,203.627,31.164999999999992,11.706999999999994,39.93299999999999,3.2630000000000052,17.544999999999987,0.33899999999999864,S0
207,204.627,32.16499999999999,12.706999999999994,40.93299999999999,4.263000000000005,18.544999999999987,1.3389999999999986,S0
208,205.627,33.16499999999999,13.706999999999994,41.93299999999999,5.263000000000005,19.544999999999987,2.3389999999999986,S0
209,206.627,34.16499999999999,14.706999999999994,42.93299999999999,6.263000000000005,20.544999999999987,3.3389999999999986,S0
210,207.627,35.16499999999999,0.5829999999999984,43.93299999999999,7.263000000000005,21.544999999999987,4.338999999999999,S0
211,208.627,36.16499999999999,1.5829999999999984,44.93299999999999,8.263000000000005,22.544999999999987,5.338999999999999,S0
212,209.627,37.16499999999999,2.5829999999999984,45.93299999999999,9.263000000000005,23.544999999999987,6.338999999999999,S0
213,210.627,38.16499999999999,3.5829999999999984,46.93299999999999,10.263000000000005,24.544999999999987,7.338999999999999,S0
214,211.627,39.16499999999999,4.582999999999998,47.93299999999999,11.263000000000005,25.544999999999987,8.338999999999999,S0
215,212.627,40.16499999999999,5.582999999999998,48.93299999999999,12.263000000000005,26.544999999999987,9.338999999999999,S0
216,213.627,41.16499999999999,6.582999999999998,49.93299999999999,0.28999999999999204,27.544999999999987,10.338999999999999,S0
217,214.627,42.16499999999999,7.582999999999998,50.93299999999999,1.289999999999992,28.544999999999987,11.338999999999999,S0
218,215.627,43.16499999999999,8.582999999999998,51.93299999999999,2.289999999999992,29.544999999999987,12.338999999999999,S0
219,216.627,44.16499999999999,9.582999999999998,52.93299999999999,0.03200000000001069,30.544999999999987,13.338999999999999,S0
220,217.627,45.16499999999999,10.582999999999998,53.93299999999999,1.0320000000000107,31.544999999999987,14.338999999999999,S0
221,218.627,46.16499999999999,11.582999999999998,54.93299999999999,2.0320000000000107,32.54499999999999,15.338999999999999,S0
222,219.627,47.16499999999999,12.582999999999998,55.93299999999999,3.0320000000000107,33.54499999999999,16.339,S0
223,220.627,48.16499999999999,13.582999999999998,56.93299999999999,4.032000000000011,34.54499999999999,17.339,S0
224,221.627,49.16499999999999,14.582999999999998,57.93299999999999,5.032000000000011,35.54499999999999,18.339,S0
225,222.627,50.16499999999999,15.582999999999998,58.93299999999999,6.032000000000011,36.54499999999999,19.339,S0
226,223.627,51.16499999999999,16.583,59.93299999999999,7.032000000000011,37.54499999999999,20.339,S0
227,224.627,52.16499999999999,17.583,60.93299999999999,8.03200000000001,38.54499999999999,21.339,S0
228,225.627,53.16499999999999,18.583,61.93299999999999,9.03200000000001,39.54499999999999,22.339,S0
229,226.627,54.16499999999999,19.583,62.93299999999999,10.03200000000001,40.54499999999999,23.339,S0
230,227.627,55.16499999999999,20.583,63.93299999999999,11.03200000000001,41.54499999999999,24.339,S0
231,228.627,56.16499999999999,21.583,64.93299999999999,12.03200000000001,42.54499999999999,25.339,S0
232,229.627,57.16499999999999,22.583,65.93299999999999,13.03200000000001,0.9730000000000132,26.339,S0
233,230.627,58.16499999999999,23.583,66.93299999999999,14.03200000000001,1.9730000000000132,27.339,S0
234,231.627,59.16499999999999,24.583,67.93299999999999,15.03200000000001,2.973000000000013,0.9300000000000068,S0
235,232.627,60.16499999999999,25.583,68.93299999999999,16.03200000000001,0.8499999999999943,1.9300000000000068,S0
236,233.627,61.16499999999999,26.583,69.93299999999999,17.03200000000001,1.8499999999999943,2.930000000000007,S0
237,234.627,62.16499999999999,27.583,70.93299999999999,18.03200000000001,2.8499999999999943,3.930000000000007,S0
238,0.20300000000000296,63.16499999999999,28.583,71.93299999999999,19.03200000000001,0.24899999999999523,4.930000000000007,S3
239,1.203000000000003,64.16499999999999,29.583,72.93299999999999,20.03200000000001,1.2489999999999952,5.930000000000007,S3
240,2.203000000000003,65.16499999999999,30.583,73.93299999999999,21.03200000000001,2.2489999999999952,6.930000000000007,S3
241,0.033999999999991815,66.16499999999999,31.583,74.93299999999999,22.03200000000001,3.2489999999999952,7.930000000000007,S3
242,1.0339999999999918,67.16499999999999,32.583,75.93299999999999,23.03200000000001,4.248999999999995,8.930000000000007,S3
243,2.033999999999992,68.16499999999999,33.583,76.93299999999999,24.03200000000001,5.248999999999995,9.930000000000007,S3
244,3.033999999999992,69.16499999999999,34.583,77.93299999999999,25.03200000000001,6.248999999999995,10.930000000000007,S3
245,4.033999999999992,70.16499999999999,35.583,78.93299999999999,26.03200000000001,7.248999999999995,11.930000000000007,S3
246,5.033999999999992,71.16499999999999,36.583,79.93299999999999,0.6829999999999927,8.248999999999995,12.930000000000007,S3
247,6.033999999999992,72.16499999999999,37.583,80.93299999999999,1.6829999999999927,9.248999999999995,13.930000000000007,S3
248,7.033999999999992,73.16499999999999,38.583,81.93299999999999,2.6829999999999927,0.3009999999999877,14.930000000000007,S3
249,8.033999999999992,74.16499999999999,39.583,82.93299999999999,0.3429999999999893,1.3009999999999877,15.930000000000007,S3
250,9.033999999999992,75.16499999999999,40.583,83.93299999999999,1.3429999999999893,2.3009999999999877,16.930000000000007,S3
251,10.033999999999992,76.16499999999999,41.583,84.93299999999999,2.3429999999999893,3.3009999999999877,17.930000000000007,S3
252,11.033999999999992,77.16499999999999,42.583,85.93299999999999,3.3429999999999893,4.300999999999988,0.25200000000000955,S3
253,12.033999999999992,78.16499999999999,43.583,86.93299999999999,4.342999999999989,5.300999999999988,1.2520000000000095,S3
254,13.033999999999992,79.16499999999999,44.583,87.93299999999999,5.342999999999989,0.7410000000000139,2.2520000000000095,S3
255,14.033999999999992,80.16499999999999,45.583,88.93299999999999,6.342999999999989,1.7410000000000139,3.2520000000000095,S3
256,15.033999999999992,81.16499999999999,46.583,89.93299999999999,0.20300000000000296,2.741000000000014,4.2520000000000095,S3
257,16.033999999999992,82.16499999999999,47.583,90.93299999999999,1.203000000000003,3.741000000000014,5.2520000000000095,S3
258,17.033999999999992,83.16499999999999,48.583,91.93299999999999,2.203000000000003,4.741000000000014,6.2520000000000095,S3
259,18.033999999999992,84.16499999999999,49.583,92.93299999999999,3.203000000000003,5.741000000000014,7.2520000000000095,S3
260,19.033999999999992,85.16499999999999,50.583,93.93299999999999,4.203000000000003,6.741000000000014,8.25200000000001,S3
261,20.033999999999992,86.16499999999999,51.583,94.93299999999999,0.382000000000005,7.741000000000014,0.16300000000001091,S3
262,21.033999999999992,87.16499999999999,52.583,95.93299999999999,1.382000000000005,8.741000000000014,1.163000000000011,S3
263,22.033999999999992,88.16499999999999,53.583,96.93299999999999,2.382000000000005,9.741000000000014,2.163000000000011,S3
264,23.033999999999992,89.16499999999999,54.583,97.93299999999999,0.73599999999999,10.741000000000014,3.163000000000011,S3
265,24.033999999999992,90.16499999999999,55.583,98.93299999999999,1.73599999999999,11.741000000000014,4.163000000000011,S3
266,25.033999999999992,91.16499999999999,56.583,99.93299999999999,2.73599999999999,12.741000000000014,5.163000000000011,S3
267,26.033999999999992,92.16499999999999,57.583,100.93299999999999,3.73599999999999,13.741000000000014,6.163000000000011,S3
268,27.033999999999992,93.16499999999999,58.583,0.33600000000001273,4.73599999999999,14.741000000000014,7.163000000000011,S1
269,0.18099999999998317,94.16499999999999,59.583,1.3360000000000127,5.73599999999999,15.741000000000014,8.163000000000011,S1
